account,URL,type,field
javierimbroda,http://twitter.com/javierimbroda,1,A
SMAF12360,http://twitter.com/SMAF12360,1,A
sergiobarrancos,http://twitter.com/sergiobarrancos,1,A
AdelaMCacha,http://twitter.com/AdelaMCacha,1,A
jiribas,http://twitter.com/jiribas,1,A
mancasas7,http://twitter.com/mancasas7,1,A
miguelsolerg,http://twitter.com/miguelsolerg,1,A
Orienta_FP,http://twitter.com/Orienta_FP,1,A
fabianmohedano,http://twitter.com/fabianmohedano,1,A
AnaMariaAguilo,http://twitter.com/AnaMariaAguilo,1,A
al_galiana,http://twitter.com/al_galiana,1,A
LopezMirasF,http://twitter.com/LopezMirasF,1,A
ihenriquezluna,http://twitter.com/ihenriquezluna,1,A
EquipoClavijo,http://twitter.com/EquipoClavijo,1,A
RomanLalin,http://twitter.com/RomanLalin,1,A
cherines_pp,http://twitter.com/cherines_pp,1,A
remepalma,http://twitter.com/remepalma,1,A
RSantolariaM,http://twitter.com/RSantolariaM,1,A
JCcaballeroM,http://twitter.com/JCcaballeroM,1,A
RosanaCLM,http://twitter.com/RosanaCLM,1,A
educaciongob,http://twitter.com/educaciongob,2,A
todofp,http://twitter.com/todofp,2,A
empleogob,http://twitter.com/empleogob,2,A
fomentogob,http://twitter.com/fomentogob,2,A
josemariademoya,http://twitter.com/josemariademoya,1,F
Munerais,http://twitter.com/Munerais,1,F
AntolinRomero,http://twitter.com/AntolinRomero,1,F
pacogutiSUR,http://twitter.com/pacogutiSUR,1,F
pdsotero,http://twitter.com/pdsotero,1,F
AlbertRiba,http://twitter.com/AlbertRiba,1,F
juancamartos,http://twitter.com/juancamartos,1,F
ECasero,http://twitter.com/ECasero,1,F
Berta_CyLE,http://twitter.com/Berta_CyLE,1,F
lalcaldeg,http://twitter.com/lalcaldeg,1,F
LuisVMunoz,http://twitter.com/LuisVMunoz,1,F
cushaquetediga,http://twitter.com/cushaquetediga,1,F
anatorres8,http://twitter.com/anatorres8,1,F
Victor_Reloba,http://twitter.com/Victor_Reloba,1,F
cfdeh,http://twitter.com/cfdeh,1,F
patriciarouzaut,http://twitter.com/patriciarouzaut,1,F
AnaSJuarez,http://twitter.com/AnaSJuarez,1,F
diegogarciacab,http://twitter.com/diegogarciacab,1,F
SelinaOtero,http://twitter.com/SelinaOtero,1,F
pilarvazher,http://twitter.com/pilarvazher,1,E
JordanGM91,http://twitter.com/JordanGM91,1,E
IgnaciodeBenito,http://twitter.com/IgnaciodeBenito,1,E
JuanJoseJuarez,http://twitter.com/JuanJoseJuarez,1,E
jc_lauder,http://twitter.com/jc_lauder,1,E
carolus_dixit,http://twitter.com/carolus_dixit,1,E
marcdesemir,http://twitter.com/marcdesemir,1,E
Ricardvcia,http://twitter.com/Ricardvcia,1,E
neusponspena,http://twitter.com/neusponspena,1,E
Roberto_Ranz,http://twitter.com/Roberto_Ranz,1,E
rosasiles,http://twitter.com/rosasiles,1,E
nachosequeira,http://twitter.com/nachosequeira,1,E
paco_menogal,http://twitter.com/paco_menogal,1,E
evaguado,http://twitter.com/evaguado,1,E
ScaramoucheSd,http://twitter.com/ScaramoucheSd,1,E
Lina_Mico,http://twitter.com/Lina_Mico,1,F
ainarazubillaga,http://twitter.com/ainarazubillaga,1,E
xfabregat,http://twitter.com/xfabregat,1,E
Arturo_Manso,http://twitter.com/Arturo_Manso,1,D
eduard_requena,http://twitter.com/eduard_requena,1,D
rodri_plaza,http://twitter.com/rodri_plaza,1,D
RosaMariCCOO,http://twitter.com/RosaMariCCOO,1,D
franciscomore13,http://twitter.com/franciscomore13,1,D
Lola_Santillana,http://twitter.com/Lola_Santillana,1,D
AfraBlanco,http://twitter.com/AfraBlanco,1,D
mpulidogu,http://twitter.com/mpulidogu,1,D
HelenEgrorienta,http://twitter.com/HelenEgrorienta,1,C
MaVidalR,http://twitter.com/MaVidalR,1,C
silviadanzarina,http://twitter.com/silviadanzarina,1,C
DavidFGuerrero,http://twitter.com/DavidFGuerrero,1,C
NachoAlonsoN,http://twitter.com/NachoAlonsoN,1,C
R_vanGrieken,http://twitter.com/R_vanGrieken,1,C
sanz_ismael,http://twitter.com/sanz_ismael,1,C
mjansen_madrid,http://twitter.com/mjansen_madrid,1,C
JosepMVilalta,http://twitter.com/JosepMVilalta,1,C
MJ_LR,http://twitter.com/MJ_LR,1,C
JFCalderero,http://twitter.com/JFCalderero,1,C
marianorajoy,http://twitter.com/marianorajoy,1,A
pablocasado_,http://twitter.com/pablocasado_,1,A
sanchezcastejon,http://twitter.com/sanchezcastejon,1,A
Jiwert,http://twitter.com/Jiwert,1,A
mdcospedal,http://twitter.com/mdcospedal,1,A
marcialmarinh,http://twitter.com/marcialmarinh,1,A
IMendezdeVigo,http://twitter.com/IMendezdeVigo,1,A
CelaaIsabel,http://twitter.com/CelaaIsabel,1,A
anapastorjulian,http://twitter.com/anapastorjulian,1,A
